CustomerID,CustomerName,Gender,Age,Location,JoinDate
CUST0001,Rian Hidayat,Male,48,Bandung,2025-07-23
CUST0002,Rizky Wijaya,Male,62,Jakarta,2024-05-11
CUST0003,Eko Wijaya,Male,36,Makassar,2023-12-15
CUST0004,Eko Pratama,Male,62,Jakarta,2024-03-23
CUST0005,Budi Siregar,Female,64,Medan,2024-04-19
CUST0006,Dewi Gunawan,Male,47,Surabaya,2025-03-01
CUST0007,Dewi Purnomo,Female,23,Medan,2024-03-22
CUST0008,Putri Pratama,Male,59,Makassar,2024-06-07
CUST0009,Rizky Pratama,Female,35,Surabaya,2025-08-31
CUST0010,Putri Siregar,Female,48,Medan,2025-06-02
CUST0011,Siti Pratama,Female,59,Makassar,2024-12-14
CUST0012,Andi Wijaya,Female,37,Bandung,2023-03-23
CUST0013,Dewi Kusuma,Male,47,Bandung,2025-02-01
CUST0014,Eko Pratama,Female,55,Bandung,2024-08-06
CUST0015,Rian Gunawan,Male,54,Bandung,2024-01-19
CUST0016,Andi Lestari,Female,18,Jakarta,2023-02-01
CUST0017,Rina Kusuma,Male,34,Jakarta,2025-01-21
CUST0018,Andi Gunawan,Female,58,Jakarta,2024-02-22
CUST0019,Lani Santoso,Male,59,Medan,2024-05-25
CUST0020,Lani Santoso,Male,45,Surabaya,2023-09-30
CUST0021,Rina Lestari,Male,38,Makassar,2023-04-21
CUST0022,Andi Gunawan,Female,52,Surabaya,2024-01-16
CUST0023,Mega Santoso,Male,32,Jakarta,2023-04-22
CUST0024,Budi Lestari,Male,61,Surabaya,2023-12-21
CUST0025,Siti Lestari,Male,29,Jakarta,2024-01-26
CUST0026,Rizky Gunawan,Male,42,Jakarta,2023-03-03
CUST0027,Siti Hidayat,Female,51,Bandung,2024-10-03
CUST0028,Rizky Wijaya,Female,61,Jakarta,2025-07-13
CUST0029,Siti Pratama,Male,46,Surabaya,2023-07-08
CUST0030,Rian Santoso,Female,26,Bandung,2023-03-21
CUST0031,Eko Santoso,Male,27,Makassar,2024-02-07
CUST0032,Budi Hidayat,Male,37,Jakarta,2023-06-05
CUST0033,Lani Santoso,Male,42,Bandung,2025-05-23
CUST0034,Dedi Santoso,Male,35,Jakarta,2025-08-25
CUST0035,Putri Hidayat,Female,49,Makassar,2023-11-15
CUST0036,Siti Gunawan,Female,64,Jakarta,2024-05-29
CUST0037,Dewi Sari,Female,36,Jakarta,2024-03-26
CUST0038,Rizky Pratama,Female,59,Jakarta,2025-05-01
CUST0039,Agus Hidayat,Male,54,Jakarta,2025-06-07
CUST0040,Eko Pratama,Male,40,Jakarta,2023-07-03
CUST0041,Rizky Wijaya,Male,49,Surabaya,2025-04-18
CUST0042,Putri Purnomo,Female,23,Makassar,2024-12-14
CUST0043,Rian Lestari,Male,25,Jakarta,2024-07-28
CUST0044,Dewi Santoso,Male,48,Jakarta,2025-02-24
CUST0045,Rizky Sari,Female,60,Jakarta,2025-08-10
CUST0046,Bambang Purnomo,Female,30,Bandung,2023-05-08
CUST0047,Rian Wijaya,Male,56,Medan,2023-02-21
CUST0048,Putri Sari,Female,45,Jakarta,2024-09-06
CUST0049,Rian Purnomo,Female,22,Jakarta,2024-01-08
CUST0050,Putri Santoso,Male,46,Bandung,2024-10-21
CUST0051,Siti Lestari,Male,45,Bandung,2023-06-21
CUST0052,Agus Wijaya,Male,33,Jakarta,2023-07-19
CUST0053,Rina Pratama,Male,19,Surabaya,2023-12-23
CUST0054,Budi Hidayat,Male,43,Jakarta,2025-08-23
CUST0055,Bambang Wijaya,Female,49,Jakarta,2023-07-11
CUST0056,Siti Santoso,Female,55,Medan,2024-03-12
CUST0057,Budi Hidayat,Female,22,Makassar,2023-03-31
CUST0058,Siti Siregar,Female,57,Makassar,2025-05-24
CUST0059,Rizky Sari,Female,49,Surabaya,2023-05-30
CUST0060,Bambang Pratama,Male,43,Jakarta,2023-11-17
CUST0061,Agus Kusuma,Female,58,Jakarta,2024-10-21
CUST0062,Rina Gunawan,Male,37,Jakarta,2023-05-26
CUST0063,Dewi Hidayat,Male,58,Jakarta,2025-07-20
CUST0064,Putri Santoso,Male,36,Jakarta,2024-10-17
CUST0065,Lani Sari,Male,57,Jakarta,2024-02-09
CUST0066,Eko Pratama,Female,62,Jakarta,2024-12-15
CUST0067,Rian Lestari,Male,59,Jakarta,2024-05-26
CUST0068,Dedi Purnomo,Female,23,Bandung,2025-05-04
CUST0069,Lani Purnomo,Male,57,Makassar,2024-11-05
